nan,nan,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
3034935,10116,141087676311256,77068993629737,32792,8887,2585608979038,000000110000001100000000,38696,38652,0,0,0,0,32741,0,2,0,606,590,602,3625,1533,17944,9944,35028,32849,158456928993376392511517360128,0,0,0,0,0,1111111111
3035235,10117,141156389824213,78383253425661,32791,8464,2602789110370,000000110000001100000000,38861,38817,0,0,0,0,32741,0,2,0,610,594,606,3581,1530,18250,9941,34937,32865,158456928993376392511517360128,0,0,0,0,0,1111111111
3035535,10118,141203631253200,77154888977872,32792,9259,2611379176036,000000110000001100000000,38995,38962,0,0,0,0,32741,0,2,0,612,596,608,3536,1472,17964,9936,34888,32876,158456928993376392511517360128,0,0,0,0,0,1111111111
3035835,10119,141177878881761,66529144016272,32791,8266,2619969241702,000000110000001100000000,39059,39011,0,0,0,0,32741,0,2,0,614,598,610,3472,1535,15490,9697,35154,32870,158456928993376392511517360128,0,0,0,0,0,1111111111
3036135,10120,140782733108858,72576462556494,32791,6983,2611379176038,000000110000001100000000,38998,38942,0,0,0,0,32741,0,2,0,614,596,608,3406,1605,16898,9850,35020,32778,158456928993376392511517360128,0,0,0,0,0,1111111111
3036435,10121,141225111201497,76003834007041,32791,9244,2602789110370,000000110000001100000000,38848,38789,0,0,0,0,32741,0,2,0,610,594,606,3585,1415,17696,9945,34966,32881,158456928993376392511517360128,0,0,0,0,0,1111111111
3036735,10122,141169272628948,77266561338884,32790,9137,2585608979038,000000110000001100000000,38639,38595,0,0,0,0,32741,0,2,0,606,590,602,3588,1521,17990,9940,34905,32868,158456928993376392511517360128,0,0,0,0,0,1111111111
3037035,10123,141074785248869,62401676905898,32790,8315,2559838782042,000000110000001100000000,38412,38369,0,0,0,0,32741,0,2,0,602,584,596,3498,1481,14529,9829,34934,32846,158456928993376392511517360128,0,0,0,0,0,1111111111
3037335,10124,140958817724116,75458384891477,32790,5985,2542658650708,000000110000001100000000,38159,38125,0,0,0,0,32741,0,2,0,596,580,592,3669,1594,17569,9940,34882,32819,158456928993376392511517360128,0,0,0,0,0,1111111111
3037635,10125,141203649996461,68092510539400,32790,8491,2516888453710,000000110000001100000000,37901,37866,0,0,0,0,32741,0,2,0,590,574,586,3720,1511,15854,9901,35174,32876,158456928993376392511517360128,0,0,0,0,0,1111111111
3037935,10126,141255168304638,72945830596406,32791,8988,2499708322378,000000110000001100000000,37711,37698,0,0,0,0,32741,0,2,0,586,570,582,3894,1618,16984,9726,34849,32888,158456928993376392511517360128,0,0,0,0,0,1111111111
3038235,10127,141242299197104,74981644439373,32792,8796,2491118256712,000000110000001100000000,37621,37619,0,0,0,0,32741,0,2,0,584,568,580,3917,1608,17458,9904,35090,32885,158456928993376392511517360128,0,0,0,0,0,1111111111
3038535,10128,141014651774555,63758893584340,32788,8868,2491118256712,000000110000001100000000,37649,37635,0,0,0,0,32741,0,2,0,584,568,580,4052,1588,14845,9819,34874,32832,158456928993376392511517360128,0,0,0,0,0,1111111111
3038835,10129,140847159518916,66005162397550,32790,9117,2499708322378,000000110000001100000000,37707,37722,0,0,0,0,32741,0,2,0,586,570,582,3950,1602,15368,9924,35049,32793,158456928993376392511517360128,0,0,0,0,0,1111111111
3039135,10130,140864343254736,65932145069832,32789,8346,2508298388044,000000110000001100000000,37830,37838,0,0,0,0,32741,0,2,0,588,572,584,3848,1558,15351,9936,35108,32797,158456928993376392511517360128,0,0,0,0,0,1111111111
3039435,10131,140808509794008,67242102754978,32792,6289,2516888584784,000000110000001100000000,37968,37982,0,0,0,0,32741,0,2,0,592,576,586,3746,1446,15656,9944,35125,32784,158456928993376392511517360128,0,0,0,0,0,1111111111
3039735,10132,141044716676784,77434071027186,32791,7904,2534068585042,000000110000001100000000,38117,38120,0,0,0,0,32741,0,2,0,594,578,590,3570,1612,18029,9904,34876,32839,158456928993376392511517360128,0,0,0,0,0,1111111111
3040035,10133,140988884854389,78198572846625,32790,8643,2551248716374,000000110000001100000000,38318,38293,0,0,0,0,32741,0,2,0,598,582,594,3617,1576,18207,9845,34918,32826,158456928993376392511517360128,0,0,0,0,0,1111111111
3040335,10134,140988889769673,64059538673228,32790,6475,2568428847706,000000110000001100000000,38504,38465,0,0,0,0,32741,0,2,0,602,586,598,3660,1548,14915,9929,34993,32826,158456928993376392511517360128,0,0,0,0,0,1111111111
3040635,10135,141040442353210,68101103029755,32791,8352,2585608979038,000000110000001100000000,38712,38671,0,0,0,0,32741,0,2,0,606,590,602,3579,1550,15856,9786,35191,32838,158456928993376392511517360128,0,0,0,0,0,1111111111
3040935,10136,140649582503532,76141285084510,32793,6184,2602789110370,000000110000001100000000,38874,38830,0,0,0,0,32741,0,2,0,610,594,606,3422,1600,17728,9836,34919,32747,158456928993376392511517360128,0,0,0,0,0,1111111111
3041235,10137,140778446464699,63204843588941,32790,6835,2611379176036,000000110000001100000000,38985,38957,0,0,0,0,32741,0,2,0,612,596,608,3405,1600,14716,9915,35147,32777,158456928993376392511517360128,0,0,0,0,0,1111111111
3041535,10138,141134922131138,75114787114377,32792,6493,2611379307110,000000110000001100000000,39049,39001,0,0,0,0,32741,0,2,0,614,598,608,3465,1588,17489,9922,35046,32860,158456928993376392511517360128,0,0,0,0,0,1111111111
3041835,10139,141100567701036,65270722071783,32789,7529,2611379176036,000000110000001100000000,38976,38919,0,0,0,0,32741,0,2,0,612,596,608,3303,1588,15197,9772,35127,32852,158456928993376392511517360128,0,0,0,0,0,1111111111
3042135,10140,141010350253740,72413251571061,32792,9121,2594199175778,000000110000001100000000,38823,38768,0,0,0,0,32741,0,2,0,610,594,604,3445,1571,16860,9900,34774,32831,158456928993376392511517360128,0,0,0,0,0,1111111111
