nan,nan,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
429088,1430,141238010586649,73864954711321,32792,7854,2628559307368,000000110000001100000000,39218,39093,0,0,0,0,32740,32740,20,11,616,600,612,3353,1635,17198,9753,35187,32884,57116889587968669784519761100537856,35723,0,0,0,0,1111111111
429388,1431,140847153292988,75192104324407,32791,6988,2645739438698,000000110000001100000000,39373,39264,0,0,0,0,32740,32740,20,11,618,604,616,3383,1707,17507,9916,34954,32793,57116889587968669784519761100537856,36620,0,0,0,0,1111111111
429688,1432,140890117449433,63363766095219,32790,8413,2662919570030,000000110000001100000000,39572,39450,0,0,0,0,32740,32740,20,11,622,608,620,3443,1733,14753,9945,35175,32803,57116889587968669784519761100537856,37514,0,0,0,0,1111111111
429988,1433,140967423387329,65902092881085,32791,8826,2680099701362,000000110000001100000000,39770,39634,0,0,0,0,32740,32740,20,11,626,612,624,3261,1750,15344,9921,35122,32821,57116889587968669784519761100537856,38411,0,0,0,0,1111111111
430288,1434,141100567111304,77915114572998,32791,6606,2697279832696,000000110000001100000000,39978,39836,0,0,0,0,32740,32740,20,11,632,616,628,3270,1722,18141,9864,35118,32852,57116889587968669784519761100537856,39305,0,0,0,0,1111111111
430588,1435,141001783715425,68878502202390,32791,7486,2714459964028,000000110000001100000000,40209,40039,0,0,0,0,32740,32740,20,11,636,620,632,3094,1704,16037,9825,35131,32829,57116889587968669784519761100537856,40202,0,0,0,0,1111111111
430888,1436,140683938571766,71571439160401,32794,5705,2731640095360,000000110000001100000000,40411,40230,0,0,0,0,32740,32740,20,11,640,624,636,3153,1589,16664,9718,34863,32755,57116889587968669784519761100537856,41096,0,0,0,0,1111111111
431188,1437,141203647047236,71580030667926,32791,6119,2748820226692,000000110000001100000000,40584,40396,0,0,0,0,32740,32740,20,11,644,628,640,3222,1613,16666,9796,35129,32876,57116889587968669784519761100537856,41993,0,0,0,0,1111111111
431488,1438,140452009223845,65369511103501,32792,9118,2757410292358,000000110000001100000000,40686,40516,0,0,0,0,32740,32740,20,11,646,630,642,3085,1661,15220,9893,34846,32701,57116889587968669784519761100537856,42887,0,0,0,0,1111111111
431788,1439,141203643639376,71893568130266,32791,5691,2757410292358,000000110000001100000000,40608,40505,0,0,0,0,32740,32740,20,11,646,630,642,3290,1687,16739,9808,35077,32876,57116889587968669784519761100537856,43784,0,0,0,0,1111111111
432088,1440,140834283660899,74071117270172,32792,8576,2740230292098,000000110000001100000000,40420,40360,0,0,0,0,32740,32740,20,11,642,628,638,3228,1698,17246,9827,35187,32790,57116889587968669784519761100537856,44678,0,0,0,0,1111111111
432388,1441,140662474352240,67237824302256,32790,8089,2723050029694,000000110000001100000000,40175,40135,0,0,0,0,32740,32740,20,11,638,622,634,3248,1698,15655,9840,35025,32750,57116889587968669784519761100537856,45575,0,0,0,0,1111111111
432688,1442,141134932092608,71322334203132,32793,6472,2697279832696,000000110000001100000000,39894,39859,0,0,0,0,32740,32740,20,11,632,616,628,3324,1637,16606,9920,35198,32860,57116889587968669784519761100537856,46469,0,0,0,0,1111111111
