,nan,nan,platform.BAT.batteryCurrentDir,platform.BAT.batteryCurrent[0:2],platform.BAT.batteryVoltage[0:2],platform.EPS.switchVoltages[0:9],platform.EPS.switchCurrents[0:9],platform.EPS.actualSwitchStatesBitmap,platform.EPS.expectedSwitchStatesBitmap,platform.EPS.solarArrayCurrents[0:4],platform.ADCS.busVoltages_2,platform.ADCS.busVoltages_1,platform.ADCS.busVoltages_0,platform.ADCS.busCurrents_2,platform.ADCS.busCurrents_1,platform.ADCS.busCurrents_0,platform.EPS.busCurrentDraws_1,platform.EPS.busCurrentDraws_0,platform.EPS.busCurrents_3,platform.EPS.busCurrents_2,platform.EPS.busCurrents_1,platform.EPS.busCurrents_0,platform.EPS.busVoltages_3,platform.EPS.busVoltages_2,platform.EPS.busVoltages_1,platform.EPS.busVoltages_0,platform.EPS.solarArrayVoltages_2,platform.EPS.solarArrayVoltages_1,platform.EPS.solarArrayVoltages_0,platform.EPS.solarArrayCurrents_4,platform.EPS.solarArrayCurrents_3,platform.EPS.solarArrayCurrents_2,platform.EPS.solarArrayCurrents_1,platform.EPS.solarArrayCurrents_0,platform.EPS.switchCurrents_9,platform.EPS.switchCurrents_8,platform.EPS.switchCurrents_7,platform.EPS.switchCurrents_6,platform.EPS.switchCurrents_5,platform.EPS.switchCurrents_4,platform.EPS.switchCurrents_3,platform.EPS.switchCurrents_2,platform.EPS.switchCurrents_1,platform.EPS.switchCurrents_0,platform.EPS.switchVoltages_9,platform.EPS.switchVoltages_8,platform.EPS.switchVoltages_7,platform.EPS.switchVoltages_6,platform.EPS.switchVoltages_5,platform.EPS.switchVoltages_4,platform.EPS.switchVoltages_3,platform.EPS.switchVoltages_2,platform.EPS.switchVoltages_1,platform.EPS.switchVoltages_0,platform.BAT.batteryVoltage_2,platform.BAT.batteryVoltage_1,platform.BAT.batteryVoltage_0,platform.BAT.batteryCurrent_2,platform.BAT.batteryCurrent_1,platform.BAT.batteryCurrent_0,platform.EPS.solarArrayVoltages[0:2],platform.EPS.busVoltages[0:3],platform.EPS.busCurrents[0:3],platform.EPS.busCurrentDraws[0:1],platform.ADCS.busCurrents[0:2],platform.ADCS.busVoltages[0:2],platform.ADCS.sensorCurrent,platform.ADCS.mtqCurrent,platform.CMC.current3V3,platform.CMC.current5V,platform.CMC.voltage3V3,platform.CMC.voltage5V,obsw.platform.obc.TelemetryADCA.channelOutput[3],obsw.platform.obc.TelemetryADCA.channelOutput[0],obsw.platform.obc.TelemetryADCA.channelOutput[1],obsw.platform.obc.TelemetryADCA.channelOutput[4],obsw.platform.obc.TelemetryADCB.channelOutput[0],obsw.platform.obc.TelemetryADCB.channelOutput[1],obsw.platform.obc.TelemetryADCB.channelOutput[2],obsw.platform.obc.TelemetryADCB.channelOutput[3],obsw.platform.obc.TelemetryADCC.channelOutput[1],obsw.platform.obc.TelemetryADCC.channelOutput[2],obsw.platform.obc.TelemetryADCC.channelOutput[5],obsw.platform.obc.TelemetryADCB.channelOutput[4],obsw.platform.obc.TelemetryADCC.channelOutput[6],obsw.platform.obc.TelemetryADCB.channelOutput[5],obsw.platform.obc.TelemetryADCC.channelOutput[4],obsw.platform.obc.TelemetryADCB.channelOutput[6],obsw.platform.obc.TelemetryADCA.channelOutput[5],obsw.platform.obc.TelemetryADCC.channelOutput[3],cdh.telemetry.DataPool.paramValid
0,82,0,0,28319766,812477317,3716240332986710727694748424,1240360256721790989632538687,640,512,1100586419201,574,360,512,842,832,539,7,6,2,22,52,8,888,861,777,896,1,1,1,1,1,1,1,1,63,2,2,4,2,2,4,2,2,1,776,2,576,2,4,2,2,2,2,3,901,858,774,22,8,27,1049601,962888300408,8644483074,6151,74191375502963,140834275731144,7139,610,16678,65501,1258,829,2125,2120,1124,3355,3345,476,3340,317,3,3,2138,24,3374,5,2310,33,2436,2294,11111111111111111111
1,142,1,0,27271190,812477316,2478300293701328253771320072,2478300296007171265605404735,640,512,2200100145153,538,664,513,826,288,517,7,6,2,23,52,8,888,861,777,896,1,3,1,1,2,3,1,2,63,2,2,5,2,2,4,2,2,2,776,2,575,2,2,2,2,2,2,2,900,858,774,22,8,26,1051649,962888300408,8644484098,6151,71094701985500,141190748579516,6242,348,16678,65501,1258,829,2123,2119,1126,3355,3345,476,3341,317,3,3,2137,24,3374,5,2312,34,2436,2295,11111111111111111111
2,201,2,0,28319765,812477316,3716240332986708528670444296,2478300297160092770212251711,640,512,22011712640001,554,296,512,828,672,550,7,6,2,22,52,9,888,861,776,893,1,4,6,1,5,5,20,20,63,2,2,5,2,2,5,2,2,2,776,2,575,2,2,2,2,2,2,3,900,858,774,21,8,27,6295553,959666026360,9718224898,6151,75681727254101,140817090553438,5870,328,16678,65501,1258,829,2122,2117,1128,3355,3346,477,3340,317,3,3,2136,24,3374,5,2313,34,2435,2296,11111111111111111111
3,261,3,0,27271171,811428748,3716240332986708528642132744,2478300296007171265605404734,640,512,4400418391047,524,840,512,894,0,544,7,6,2,23,52,8,888,861,776,901,253,353,262,7,1,214,2,4,62,2,2,5,2,2,4,2,2,2,776,2,548,2,2,2,2,2,2,3,908,858,773,3,8,26,275088637,968255960952,8644484098,6151,74766907870919,140963111642828,5981,824,16726,65501,1258,828,2140,2135,1123,3355,3346,476,3340,317,3,3,2153,24,3375,4,2313,34,2436,2296,11111111111111111111
4,321,4,1,28319760,811428756,3716240332986708528659958536,2478300296007171265605404735,640,512,4400570434573,554,776,512,784,448,574,8,5,2,23,52,8,888,861,777,909,846,413,263,13,1,359,2,4,63,2,2,5,2,2,4,2,2,2,776,2,565,2,2,2,2,2,2,3,916,858,773,16,8,27,276199246,976846944120,8644484098,5128,78950191599193,140945939637828,8750,171,16714,65501,1258,828,2163,2157,1115,3356,3345,478,3340,318,4,3,2176,25,3374,5,2304,34,2438,2301,11111111111111111111
5,382,5,0,27271174,811428750,2478300293701328253758737160,2478300297160092770212251710,640,512,5499789510050,556,600,513,833,0,545,8,6,2,23,52,8,888,861,776,912,163,350,260,418,1,80,2,5,62,2,2,5,2,2,5,2,2,2,776,2,563,2,2,2,2,2,2,2,910,858,773,6,8,26,272988323,980067121016,8644484098,6152,74904338828727,141173573297752,8914,828,16714,65501,1258,828,2163,2158,1115,3356,3345,476,3340,317,3,3,2177,25,3375,5,2312,34,2437,2295,11111111111111111111
6,441,6,1,27271181,811427732,2478300293701328253758737160,2478300296006045365698562110,640,512,4778152170497,548,280,513,804,576,574,8,6,2,22,52,8,888,861,776,903,2,290,362,1,5,1,354,4,62,2,2,5,2,1,4,2,2,2,776,2,563,2,2,2,2,2,2,2,916,857,773,13,8,26,379881474,970403444600,8644483074,6152,78967374089678,141087671854756,8007,429,16702,65501,1258,828,2146,2141,1120,3355,3346,477,3340,317,4,3,2160,24,3375,5,2308,33,2436,2302,11111111111111111111
7,501,7,1,27271181,812478349,3716240332986707429158816520,2478300296006045365698562110,640,512,4678294282241,563,136,513,851,608,549,7,6,2,22,52,8,888,861,777,910,2,417,427,1,104,1,261,4,62,2,2,5,2,1,4,2,2,2,776,2,575,2,1,2,2,2,2,3,909,859,774,13,8,26,448168962,977920685944,8644483074,6151,75535701446238,141049021277898,5651,657,16702,65501,1258,828,2164,2158,1115,3356,3346,476,3340,317,4,3,2177,24,3375,5,2311,34,2436,2294,11111111111111111111
8,561,8,1,28319757,811428757,3716240332986708528670444296,2478300296007171265605404734,640,512,4682589219067,508,200,513,831,320,579,8,6,2,23,52,8,889,861,777,910,86,404,410,251,74,1,265,4,62,2,2,5,2,2,4,2,2,2,776,2,575,2,2,2,2,2,2,3,917,858,773,13,8,27,430329942,977920685945,8644484098,6152,79620212723255,141066186532550,5748,461,16702,65507,1258,828,2162,2156,1123,3356,3346,476,3340,317,4,3,2175,24,3375,4,2307,34,2438,2303,11111111111111111111
9,621,9,1,28319754,811429774,2478300293701328253744057096,2478300296007171265605404734,640,512,4604255273987,523,8,513,864,352,579,7,6,2,21,52,8,888,860,777,910,166,338,355,3,1,48,192,4,62,2,2,5,2,2,4,2,2,2,776,2,549,2,2,2,2,2,2,2,910,859,773,10,8,27,372590758,977920684920,8644482050,6151,79624511950290,141014650988147,5657,560,16702,65501,1258,828,2164,2158,1116,3356,3346,479,3340,317,4,3,2177,24,3375,15,2305,34,2437,2301,11111111111111111111
