nan,nan,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
7340445,24468,140765562021354,77700355001485,32792,5877,2697279832696,000000110000001100000011,39928,39814,0,0,0,0,32723,32723,25,25,632,616,628,3213,1551,18091,9706,35154,32774,129809441727716775377536728396988416,57930,0,7339596,1225,340,1111111111
7340745,24469,141229414688374,63222020902153,32791,6152,2680099701364,000000110000001100000011,39713,39641,0,0,0,0,32723,32723,25,25,628,612,624,3337,1561,14720,9846,35096,32882,129809441727716775377536728396988416,57930,0,7339596,1225,340,1111111111
7341045,24470,141229398894115,77867861478692,32792,9161,2654329504368,000000110000001100000011,39464,39417,0,0,0,0,32723,32723,25,25,624,606,618,3364,1593,18130,9763,34855,32882,129809441727716775377536728396988416,57930,0,7340797,1226,340,1111111111
7341345,24471,141250892801694,78417617948047,32790,8876,2628559438442,000000110000001100000011,39177,39155,0,0,0,0,32723,32723,25,25,618,602,612,3471,1603,18258,9886,35146,32887,129809441727716775377536728396988416,57930,0,7340797,1226,340,1111111111
7341645,24472,140976017974727,68698104073609,32792,8088,2602789110372,000000110000001100000011,38904,38875,0,0,0,0,32723,32723,25,25,612,594,606,3465,1559,15995,9671,35193,32823,129809441727716775377536728396988416,57930,0,7340797,1226,340,1111111111
7341945,24473,141156387530450,77820614872477,32790,9199,2577018913374,000000110000001100000011,38624,38584,0,0,0,0,32723,32723,25,25,606,588,600,3485,1563,18119,9938,34902,32865,129809441727716775377536728396988416,57930,0,7340797,1226,340,1111111111
7342245,24474,141053318670036,72619406593656,32790,7582,2559838782042,000000110000001100000011,38447,38369,0,0,0,0,32723,32723,25,25,602,584,596,3704,1519,16908,9940,35060,32841,129809441727716775377536728396988416,57930,0,7342151,1227,340,1111111111
7342545,24475,140980306716217,62440338623899,32790,7233,2551248847448,000000110000001100000011,38349,38322,0,0,0,0,32723,32723,25,25,600,584,594,3483,1588,14538,9785,35098,32824,129809441727716775377536728396988416,57930,0,7342151,1227,340,1111111111
7342845,24476,141186453874328,61899161865757,32790,5687,2551248847448,000000110000001100000011,38303,38346,0,0,0,0,32723,32723,25,25,600,584,594,3613,1422,14412,9880,34926,32872,129809441727716775377536728396988416,57930,0,7342151,1227,340,1111111111
7343145,24477,141109150951094,72864224906759,32792,7530,2559838782040,000000110000001100000011,38338,38416,0,0,0,0,32723,32723,25,25,600,584,596,3591,1598,16965,9910,35025,32854,129809441727716775377536728396988416,57930,0,7342151,1227,340,1111111111
7343445,24478,141190760965672,65360914877895,32790,7750,2568428847706,000000110000001100000011,38465,38512,0,0,0,0,32723,32723,25,25,602,586,598,3527,1565,15218,9768,35111,32873,129809441727716775377536728396988416,57930,0,7343352,1228,340,1111111111
7343745,24479,141122028316351,71275078159755,32791,8919,2577019044446,000000110000001100000011,38657,38662,0,0,0,0,32723,32723,25,25,606,590,600,3467,1463,16595,9919,34910,32857,129809441727716775377536728396988416,57930,0,7343352,1228,340,1111111111
7344045,24480,141302435489383,68912850865548,32792,7836,2594199175778,000000110000001100000011,38822,38867,0,0,0,0,32723,32723,25,25,610,594,604,3468,1535,16045,9831,35193,32899,129809441727716775377536728396988416,57930,0,7343352,1228,340,1111111111
7344345,24481,141139206088402,72572164312397,32792,9006,2611379307110,000000110000001100000011,38984,39086,0,0,0,0,32723,32723,25,25,614,598,608,3405,1555,16897,9938,34878,32861,129809441727716775377536728396988416,57930,0,7343352,1228,340,1111111111
7344645,24482,141036136179419,70227115183517,32791,9006,2628559438442,000000110000001100000011,39169,39270,0,0,0,0,32723,32723,25,25,618,602,612,3485,1601,16351,9947,35020,32837,129809441727716775377536728396988416,57930,0,7343352,1228,340,1111111111
7344945,24483,141182173390501,70781167144294,32791,8262,2654329504366,000000110000001100000011,39438,39462,0,0,0,0,32723,32723,25,25,622,606,618,3430,1619,16480,9893,35147,32871,129809441727716775377536728396988416,57930,0,7344839,1229,340,1111111111
7345245,24484,140928764552903,73349551295777,32790,5915,2671509635700,000000110000001100000011,39733,39629,0,0,0,0,32723,32723,25,25,628,610,622,3361,1523,17078,9927,35059,32812,129809441727716775377536728396988416,57930,0,7344839,1229,340,1111111111
7345545,24485,141233696220805,74985939274967,32794,7428,2688689767032,000000110000001100000011,39907,39778,0,0,0,0,32723,32723,25,25,632,614,626,3287,1606,17459,9861,34891,32883,129809441727716775377536728396988416,57930,0,7344839,1229,340,1111111111
