nan,nan,platform.obc.GPS.LastGpsTimeLog,platform.obc.GPS.UpdateGpsTimeLog[0:1],platform.obc.OBC.mramCorrectableErrorCount,platform.obc.OBC.mramNonCorrectableErrorCount,platform.obc.OBC.flashCorrectableErrorCount,platform.obc.OBC.flashNonCorrectableErrorCount,platform.obc.MagnetometerI2C.nackAddrCount,platform.obc.MagnetometerI2C.hwStateErrorCount,platform.obc.GPS.UpdateGpsTimeLog_1,platform.obc.GPS.UpdateGpsTimeLog_0,platform.obc.MagnetometerI2C.isrErrorCount,platform.obc.I2CBusA.nackAddrCount,platform.obc.I2CBusA.hwStateErrorCount,platform.obc.I2CBusA.isrErrorCount,platform.obc.I2CBusB.nackAddrCount,platform.obc.I2CBusB.hwStateErrorCount,platform.obc.I2CBusB.isrErrorCount,platform.obc.I2CBusC.nackAddrCount,platform.obc.I2CBusC.hwStateErrorCount,platform.obc.I2CBusC.isrErrorCount,platform.obc.GPSSerial.txFailures,platform.obc.GPSSerial.rxFailures,platform.obc.GPSSerial.framingErrors,platform.obc.GPSSerial.parityErrors,platform.obc.GPSSerial.overrunErrors,platform.BAT.status,platform.BAT.lastError,platform.BAT.autoResetCount,platform.BAT.brownOutResetCount,platform.EPS.status,platform.EPS.lastError,platform.EPS.softResetCount,platform.ADCS.fss1ErrorCodes,platform.ADCS.fss1ErrorCount,platform.ADCS.busCurrents[0],platform.ADCS.boardTemperature,platform.ADCS.detumbleCounter,platform.CMC.txPacketCount,platform.CMC.txOverrunErrorCount,platform.CMC.rxDtmfAndCounter,platform.CMC.rxPacketCount,platform.CMC.rxDroppedErrorCount,platform.CMC.rxCrcErrorCount,platform.CMC.rxOverrunErrorCount,platform.CMC.rxProtocolErrorCount,platform.CMC.temperatureSmps,platform.CMC.voltage3V3,platform.CMC.current3V3,payload.GMOD.DP_GMODMSPTemp,payload.GMOD.DP_ErrMessages,payload.GMOD.DP_FlashRolloverCounter,payload.GMOD.DP_CPLDTimeoutCounter,payload.GMOD.DP_SegFaultCount,payload.GMOD.DP_SegFaultType,payload.GMOD.DP_CorrBitErrorCount,payload.GMOD.DP_NonCorrBitErrorCount,payload.GMOD.DP_ForbiddenReadCount,core.EventDispatcher.overflowCount,EMOD.Serial.txFailures,EMOD.Serial.rxFailures,EMOD.Serial.framingErrors,EMOD.Serial.parityErrors,EMOD.Serial.overrunErrors,GMOD.Serial.txFailures,GMOD.Serial.rxFailures,GMOD.Serial.framingErrors,GMOD.Serial.parityErrors,GMOD.Serial.overrunErrors,comms.HMAC.authenticatedFrameCount,comms.HMAC.failedAuthenticationCount,comms.HMAC.droppedFrameCount,comms.HMAC.seqResyncCount,mission.ModeManager.EntryError,mission.ModeManager.ExitError,cdh.telemetry.DataPool.paramValid
2400182,4000,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,10,0,17151,38249,200,16397,0,149,5191,0,8,0,0,17,828,17452,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2400782,4001,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,10,0,15820,38344,200,16407,0,149,5191,0,8,0,0,18,828,17464,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2401382,4002,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,11,0,15616,38615,200,16417,0,149,5191,0,8,0,0,20,828,17523,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2401982,4003,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,10,0,16667,38992,200,16427,0,149,5191,0,8,0,0,23,828,17606,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2402582,4004,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,11,0,16149,39416,200,16437,0,149,5191,0,8,0,0,26,828,17690,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2403182,4005,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,10,0,15101,39717,200,16447,0,149,5191,0,8,0,0,27,829,17761,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2403782,4006,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,10,0,15427,39688,200,16457,0,149,5191,0,8,0,0,26,829,17761,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2404382,4007,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,10,0,15120,39281,200,16467,0,149,5191,0,8,0,0,23,829,17666,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2404982,4008,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,10,0,15466,38754,200,16477,0,149,5191,0,8,0,0,19,829,17559,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2405582,4009,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,0,0,17032,38254,200,16487,0,149,5191,0,8,0,0,17,828,17452,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2406182,4010,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,10,0,14481,38198,200,16497,0,149,5191,0,8,0,0,16,828,17428,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2406783,4011,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,0,0,17093,38448,200,16507,0,149,5191,0,8,0,0,18,828,17464,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2407383,4012,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,11,0,16704,38775,200,16517,0,149,5191,0,8,0,0,21,828,17535,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2407983,4013,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,0,0,16034,39141,200,16527,0,149,5191,0,8,0,0,23,828,17606,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2408583,4014,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,10,0,16210,39521,200,16537,0,149,5191,0,8,0,0,25,829,17690,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2409183,4015,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,10,0,16645,39673,200,16547,0,149,5191,0,8,0,0,26,829,17725,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
2409783,4016,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18178,0,18178,0,0,0,0,0,128,0,0,2,0,0,4,10,0,15284,39410,200,16557,0,149,5191,0,8,0,0,23,829,17678,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,5188,3,0,187,0,0,11111111111111111111111111111111
