Unnamed: 0,nan,nan.1,platform.obc.GPS.LastGpsTimeLog,platform.obc.GPS.UpdateGpsTimeLog[0:1],platform.obc.OBC.mramCorrectableErrorCount,platform.obc.OBC.mramNonCorrectableErrorCount,platform.obc.OBC.flashCorrectableErrorCount,platform.obc.OBC.flashNonCorrectableErrorCount,platform.obc.MagnetometerI2C.nackAddrCount,platform.obc.GPS.UpdateGpsTimeLog_1,platform.obc.GPS.UpdateGpsTimeLog_0,platform.obc.MagnetometerI2C.hwStateErrorCount,platform.obc.MagnetometerI2C.isrErrorCount,platform.obc.I2CBusA.nackAddrCount,platform.obc.I2CBusA.hwStateErrorCount,platform.obc.I2CBusA.isrErrorCount,platform.obc.I2CBusB.nackAddrCount,platform.obc.I2CBusB.hwStateErrorCount,platform.obc.I2CBusB.isrErrorCount,platform.obc.I2CBusC.nackAddrCount,platform.obc.I2CBusC.hwStateErrorCount,platform.obc.I2CBusC.isrErrorCount,platform.obc.GPSSerial.txFailures,platform.obc.GPSSerial.rxFailures,platform.obc.GPSSerial.framingErrors,platform.obc.GPSSerial.parityErrors,platform.obc.GPSSerial.overrunErrors,platform.BAT.status,platform.BAT.lastError,platform.BAT.autoResetCount,platform.BAT.brownOutResetCount,platform.EPS.status,platform.EPS.lastError,platform.EPS.softResetCount,platform.ADCS.fss1ErrorCodes,platform.ADCS.fss1ErrorCount,platform.ADCS.busCurrents[0],platform.ADCS.boardTemperature,platform.ADCS.detumbleCounter,platform.CMC.txPacketCount,platform.CMC.txOverrunErrorCount,platform.CMC.rxDtmfAndCounter,platform.CMC.rxPacketCount,platform.CMC.rxDroppedErrorCount,platform.CMC.rxCrcErrorCount,platform.CMC.rxOverrunErrorCount,platform.CMC.rxProtocolErrorCount,platform.CMC.temperatureSmps,platform.CMC.voltage3V3,platform.CMC.current3V3,payload.GMOD.DP_GMODMSPTemp,payload.GMOD.DP_ErrMessages,payload.GMOD.DP_FlashRolloverCounter,payload.GMOD.DP_CPLDTimeoutCounter,payload.GMOD.DP_SegFaultCount,payload.GMOD.DP_SegFaultType,payload.GMOD.DP_CorrBitErrorCount,payload.GMOD.DP_NonCorrBitErrorCount,payload.GMOD.DP_ForbiddenReadCount,core.EventDispatcher.overflowCount,EMOD.Serial.txFailures,EMOD.Serial.rxFailures,EMOD.Serial.framingErrors,EMOD.Serial.parityErrors,EMOD.Serial.overrunErrors,GMOD.Serial.txFailures,GMOD.Serial.rxFailures,GMOD.Serial.framingErrors,GMOD.Serial.parityErrors,GMOD.Serial.overrunErrors,comms.HMAC.authenticatedFrameCount,comms.HMAC.failedAuthenticationCount,comms.HMAC.droppedFrameCount,comms.HMAC.seqResyncCount,mission.ModeManager.EntryError,mission.ModeManager.ExitError,cdh.telemetry.DataPool.paramValid
0,8350623,13917,0000101010010111001010011010101010011111111011101110000011000000,0000101010010111001010011010101010011111111011101110000011000000,0,0,0,0,0,540800479,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,15594,38582,200,46589,0,159,7579,0,12,0,0,22,828,17761,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7071,252,0,208,0,0,11111111111111111111111111111111
1,8351223,13918,0000101010010111001010110000011111100000001001101110100000000000,0000101010010111001010110000011111100000001001101110100000000000,0,0,0,0,0,540800489,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,13849,39011,200,46599,0,159,7579,0,12,0,0,24,828,17809,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7071,252,0,208,0,0,11111111111111111111111111111111
2,8351823,13919,0000101010010111001010110000011111100000001001101110100000000000,0000101010010111001010110000011111100000001001101110100000000000,0,0,0,0,0,540800489,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,11,57930,15065,39380,200,46609,0,159,7579,0,12,0,0,26,829,17880,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7071,252,0,208,0,0,11111111111111111111111111111111
3,8352423,13920,0000101010010111001011000011011111010010000101001111001010000000,0000101010010111001011000011011111010010000101001111001010000000,0,0,0,0,0,540800570,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,16655,39676,200,46619,0,159,7579,0,12,0,0,30,829,17999,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7071,252,0,208,0,0,11111111111111111111111111111111
4,8353023,13921,0000101010010111001011000110010100011111000011110011110111000000,0000101010010111001011000110010100011111000011110011110111000000,0,0,0,0,0,540800570,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,15902,40103,200,46629,0,159,7579,0,12,0,0,31,830,18095,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7071,252,0,208,0,0,11111111111111111111111111111111
5,8353623,13922,0000101010010111001011000110010100011111000011110011110111000000,0000101010010111001011000110010100011111000011110011110111000000,0,0,0,0,0,540800570,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,17876,39902,200,46639,0,159,7579,0,12,0,0,29,830,18035,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7071,252,0,208,0,0,11111111111111111111111111111111
6,8354223,13923,0000101010010111001011011010010011001111000110010000101111000000,0000101010010111001011011010010011001111000110010000101111000000,0,0,0,0,0,540800571,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,15096,39303,200,46649,0,159,7579,0,12,0,0,24,829,17892,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7071,252,0,208,0,0,11111111111111111111111111111111
7,8354823,13924,0000101010010111001011011010010011001111000110010000101111000000,0000101010010111001011011010010011001111000110010000101111000000,0,0,0,0,0,540800571,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,14908,38728,200,46658,0,159,7579,0,12,0,0,20,828,17749,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7071,252,0,208,0,0,11111111111111111111111111111111
8,8355423,13925,0000101010010111001011101101001111111001111100101011101101000000,0000101010010111001011101101001111111001111100101011101101000000,0,0,0,0,0,540800580,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,17239,38512,200,46679,0,159,7585,0,16,0,0,20,828,17714,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7077,252,0,210,0,0,11111111111111111111111111111111
9,8356023,13926,0000101010010111001011101101001111111001111100101011101101000000,0000101010010111001011101101001111111001111100101011101101000000,0,0,0,0,0,540800580,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,0,57930,14771,38733,200,46810,0,159,7617,0,23,0,0,23,829,17797,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
