Unnamed: 0,ODT,RowID,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
0,7691151,25637,140680000000000.0,60357300000000.0,32792,5825,2577020000000.0,110000001100000011,38730,0,0,0,0,32723,32723,25,25,38656,604,600,5376,1901,14053,20480,40301,32754,38604,129809441727716775377536728396988416,57930,0,7689519,1440,388,1111111111
1,7691451,25638,140422000000000.0,64179800000000.0,32788,6857,2594200000000.0,110000001100000011,38905,0,0,0,0,32723,32723,25,25,38400,606,604,17920,1582,14943,48128,35693,32694,38772,129809441727716775377536728396988416,57930,0,7689519,1440,388,1111111111
2,7691751,25639,140985000000000.0,70772600000000.0,32792,5845,2611380000000.0,110000001100000011,39067,0,0,0,0,32723,32723,25,25,38144,608,608,52736,1966,16478,64000,41175,32825,38928,129809441727716775377536728396988416,57930,0,7689519,1440,388,1111111111
3,7692051,25640,141101000000000.0,75784800000000.0,32791,8570,2628560000000.0,110000001100000011,39229,0,0,0,0,32723,32723,25,25,37888,610,612,22528,1557,17645,33280,41723,32852,39093,129809441727716775377536728396988416,57930,0,7689519,1440,388,1111111111
4,7692351,25641,141092000000000.0,75381100000000.0,32792,6465,2637150000000.0,110000001100000011,39385,0,0,0,0,32723,32723,25,25,37760,611,614,13056,1968,17551,26624,35466,32850,39255,129809441727716775377536728396988416,57930,0,7689519,1440,388,1111111111
5,7692651,25642,141208000000000.0,75252200000000.0,32792,9336,2654330000000.0,110000001100000011,39552,0,0,0,0,32723,32723,25,25,37504,613,618,18944,1190,17521,61440,36013,32877,39418,129809441727716775377536728396988416,57930,0,7689519,1440,389,1111111111
6,7692951,25643,140851000000000.0,61443900000000.0,32791,6091,2662920000000.0,110000001100000011,39603,0,0,0,0,32723,32723,25,25,37376,614,620,18176,1493,14306,15872,28114,32794,39487,129809441727716775377536728396988416,57930,0,7689519,1440,389,1111111111
7,7693251,25644,141049000000000.0,71434000000000.0,32790,8164,2654330000000.0,110000001100000011,39473,0,0,0,0,32723,32723,25,25,37504,613,618,58368,1585,16632,31232,34698,32840,39401,129809441727716775377536728396988416,57930,0,7689519,1440,389,1111111111
8,7693551,25645,141268000000000.0,68831200000000.0,32791,7969,2637150000000.0,110000001100000011,39271,0,0,0,0,32723,32723,25,25,37760,611,614,47104,825,16026,18432,34037,32891,39225,129809441727716775377536728396988416,57930,0,7689519,1440,389,1111111111
9,7693851,25646,141277000000000.0,71829100000000.0,32789,7917,2619970000000.0,110000001100000011,39039,0,0,0,0,32723,32723,25,25,38016,609,610,29440,1021,16724,25088,40294,32893,39003,129809441727716775377536728396988416,57930,0,7689519,1440,389,1111111111
10,7694151,25647,141062000000000.0,69999500000000.0,32791,7659,2594200000000.0,110000001100000011,38825,0,0,0,0,32723,32723,25,25,38400,606,604,64256,1876,16298,48128,36454,32843,38782,129809441727716775377536728396988416,57930,0,7693935,1441,389,1111111111
11,7694451,25648,140757000000000.0,59940700000000.0,32792,5543,2577020000000.0,110000001100000011,38549,0,0,0,0,32723,32723,25,25,38656,604,600,36608,2081,13956,4608,35580,32772,38509,129809441727716775377536728396988416,57930,0,7693935,1441,389,1111111111
12,7694751,25649,140976000000000.0,68354500000000.0,32791,6092,2551250000000.0,110000001100000011,38273,0,0,0,0,32723,32723,25,25,39040,601,594,63744,1456,15915,57344,34918,32823,38230,129809441727716775377536728396988416,57930,0,7693935,1441,389,1111111111
13,7695051,25650,141178000000000.0,75578600000000.0,32789,7006,2534070000000.0,110000001100000011,38091,0,0,0,0,32723,32723,25,25,39296,599,590,2560,923,17597,17408,37002,32870,38017,129809441727716775377536728396988416,57930,0,7693935,1441,389,1111111111
14,7695351,25651,141182000000000.0,61714500000000.0,32791,9001,2525480000000.0,110000001100000011,38067,0,0,0,0,32723,32723,25,25,39424,598,588,39168,1753,14369,27648,32501,32871,37954,129809441727716775377536728396988416,57930,0,7695286,1442,389,1111111111
15,7695651,25652,140847000000000.0,73272200000000.0,32790,6395,2525480000000.0,110000001100000011,38116,0,0,0,0,32723,32723,25,25,39424,598,588,61952,883,17060,5632,32615,32793,37996,129809441727716775377536728396988416,57930,0,7695286,1442,389,1111111111
16,7695951,25653,141053000000000.0,74440500000000.0,32791,7761,2534070000000.0,110000001100000011,38210,0,0,0,0,32723,32723,25,25,39296,599,590,13568,1935,17332,41472,30197,32841,38090,129809441727716775377536728396988416,57930,0,7695286,1442,389,1111111111
17,7696251,25654,141165000000000.0,67980800000000.0,32791,8761,2542660000000.0,110000001100000011,38352,0,0,0,0,32723,32723,25,25,39168,600,592,32768,879,15828,512,35246,32867,38219,129809441727716775377536728396988416,57930,0,7695286,1442,389,1111111111
18,7696551,25655,141152000000000.0,74200000000000.0,32791,9152,2559840000000.0,110000001100000011,38505,0,0,0,0,32723,32723,25,25,38912,602,596,28672,2212,17276,49152,33489,32864,38389,129809441727716775377536728396988416,57930,0,7695286,1442,389,1111111111
19,7696851,25656,141195000000000.0,74973000000000.0,32790,9304,2577020000000.0,110000001100000011,38694,0,0,0,0,32723,32723,25,25,38656,604,600,25088,776,17456,44544,34257,32874,38567,129809441727716775377536728396988416,57930,0,7696575,1443,389,1111111111
20,7697151,25657,140950000000000.0,70673800000000.0,32791,8534,2594200000000.0,110000001100000011,38879,0,0,0,0,32723,32723,25,25,38400,606,604,29184,1726,16455,23552,31406,32817,38742,129809441727716775377536728396988416,57930,0,7696575,1443,389,1111111111
21,7697451,25658,140637000000000.0,64806900000000.0,32789,6877,2611380000000.0,110000001100000011,39051,0,0,0,0,32723,32723,25,25,38144,608,608,58624,2112,15089,25088,39533,32744,38911,129809441727716775377536728396988416,57930,0,7696575,1443,389,1111111111
22,7697751,25659,141113000000000.0,74603700000000.0,32789,9249,2628560000000.0,110000001100000011,39218,0,0,0,0,32723,32723,25,25,37888,610,612,38144,1801,17370,64000,28220,32855,39096,129809441727716775377536728396988416,57930,0,7696575,1443,389,1111111111
23,7698051,25660,141101000000000.0,66469000000000.0,32792,6681,2637150000000.0,110000001100000011,39381,0,0,0,0,32723,32723,25,25,37760,611,614,12800,1314,15476,33280,41723,32852,39242,129809441727716775377536728396988416,57930,0,7697776,1444,389,1111111111
24,7698351,25661,141053000000000.0,62118200000000.0,32790,9114,2654330000000.0,110000001100000011,39496,0,0,0,0,32723,32723,25,25,37504,613,618,48640,1342,14463,41472,30197,32841,39363,129809441727716775377536728396988416,57930,0,7697776,1444,389,1111111111
25,7698651,25662,140929000000000.0,72658100000000.0,32790,9078,2654330000000.0,110000001100000011,39526,0,0,0,0,32723,32723,25,25,37504,613,618,38144,2109,16917,51712,38651,32812,39428,129809441727716775377536728396988416,57930,0,7697776,1444,389,1111111111
26,7698951,25663,140547000000000.0,66035200000000.0,32791,8666,2654330000000.0,110000001100000011,39405,0,0,0,0,32723,32723,25,25,37504,613,618,32768,1187,15375,24064,42498,32723,39346,129809441727716775377536728396988416,57930,0,7697776,1444,389,1111111111
27,7699251,25664,141079000000000.0,65502600000000.0,32791,8411,2637150000000.0,110000001100000011,39256,0,0,0,0,32723,32723,25,25,37760,611,614,29184,820,15251,9728,33710,32847,39214,129809441727716775377536728396988416,57930,0,7699209,1445,389,1111111111
28,7699551,25665,141088000000000.0,67598600000000.0,32791,8927,2619970000000.0,110000001100000011,39054,0,0,0,0,32723,32723,25,25,38016,609,610,20992,1674,15739,16384,39967,32849,39010,129809441727716775377536728396988416,57930,0,7699209,1445,389,1111111111
29,7699851,25666,141062000000000.0,70755400000000.0,32791,9005,2594200000000.0,110000001100000011,38784,0,0,0,0,32723,32723,25,25,38400,606,604,41472,1659,16474,48128,36454,32843,38749,129809441727716775377536728396988416,57930,0,7699209,1445,389,1111111111
30,7700151,25667,140598000000000.0,72112600000000.0,32790,8887,2577020000000.0,110000001100000011,38530,0,0,0,0,32723,32723,25,25,38656,604,600,9728,1512,16790,39936,34264,32735,38487,129809441727716775377536728396988416,57930,0,7699209,1445,389,1111111111
31,7700451,25668,141053000000000.0,72572200000000.0,32789,9095,2551250000000.0,110000001100000011,38262,0,0,0,0,32723,32723,25,25,39040,601,594,39424,2099,16897,41472,30197,32841,38218,129809441727716775377536728396988416,57930,0,7699209,1445,389,1111111111
32,7700752,25669,141071000000000.0,67706000000000.0,32791,6287,2534070000000.0,110000001100000011,38147,0,0,0,0,32723,32723,25,25,39296,599,590,17408,2068,15764,54784,42711,32845,38064,129809441727716775377536728396988416,57930,0,7700685,1446,389,1111111111
33,7701052,25670,141066000000000.0,68315800000000.0,32791,6511,2534070000000.0,110000001100000011,38122,0,0,0,0,32723,32723,25,25,39296,599,590,54784,765,15906,58368,31953,32844,38020,129809441727716775377536728396988416,57930,0,7700685,1446,389,1111111111
34,7701351,25671,141277000000000.0,68595000000000.0,32792,9040,2534070000000.0,110000001100000011,38168,0,0,0,0,32723,32723,25,25,39296,599,590,48640,1179,15971,25088,40294,32893,38043,129809441727716775377536728396988416,57930,0,7700685,1446,389,1111111111
35,7701651,25672,140671000000000.0,77593000000000.0,32791,8232,2542660000000.0,110000001100000011,38275,0,0,0,0,32723,32723,25,25,39168,600,592,47616,1843,18066,13824,34044,32752,38149,129809441727716775377536728396988416,57930,0,7700685,1446,389,1111111111
36,7701952,25673,141255000000000.0,71683100000000.0,32788,6660,2551250000000.0,110000001100000011,38436,0,0,0,0,32723,32723,25,25,39040,601,594,16128,1462,16690,1536,32281,32888,38302,129809441727716775377536728396988416,57930,0,7700685,1446,389,1111111111
37,7702252,25674,141238000000000.0,76377500000000.0,32792,8838,2577020000000.0,110000001100000011,38658,0,0,0,0,32723,32723,25,25,38656,604,600,40704,1473,17783,39936,35025,32884,38525,129809441727716775377536728396988416,57930,0,7700685,1446,390,1111111111
38,7702552,25675,141028000000000.0,72572200000000.0,32791,8079,2594200000000.0,110000001100000011,38845,0,0,0,0,32723,32723,25,25,38400,606,604,39424,2099,16897,59392,41943,32835,38711,129809441727716775377536728396988416,57930,0,7700685,1446,390,1111111111
39,7702852,25676,141040000000000.0,72370300000000.0,32791,9067,2602790000000.0,110000001100000011,39004,0,0,0,0,32723,32723,25,25,38272,607,606,5888,1542,16850,24576,28441,32838,38877,129809441727716775377536728396988416,57930,0,7700685,1446,390,1111111111
