Unnamed: 0,ODT,RowID,platform.BAT.batteryCurrentDir,platform.BAT.batteryCurrent[0:2],platform.BAT.batteryVoltage[0:2],platform.EPS.switchVoltages[0:9],platform.EPS.switchCurrents[0:9],platform.EPS.actualSwitchStatesBitmap,platform.EPS.expectedSwitchStatesBitmap,platform.ADCS.busVoltages_2,platform.ADCS.busVoltages_1,platform.ADCS.busVoltages_0,platform.ADCS.busCurrents_2,platform.ADCS.busCurrents_1,platform.ADCS.busCurrents_0,platform.EPS.busCurrentDraws_1,platform.EPS.busCurrentDraws_0,platform.EPS.busCurrents_3,platform.EPS.busCurrents_2,platform.EPS.busCurrents_1,platform.EPS.busCurrents_0,platform.EPS.busVoltages_3,platform.EPS.busVoltages_2,platform.EPS.busVoltages_1,platform.EPS.busVoltages_0,platform.EPS.solarArrayVoltages_2,platform.EPS.solarArrayVoltages_1,platform.EPS.solarArrayVoltages_0,platform.EPS.solarArrayCurrents_4,platform.EPS.solarArrayCurrents_3,platform.EPS.solarArrayCurrents_2,platform.EPS.solarArrayCurrents_1,platform.EPS.solarArrayCurrents_0,platform.EPS.switchCurrents_9,platform.EPS.switchCurrents_8,platform.EPS.switchCurrents_7,platform.EPS.switchCurrents_6,platform.EPS.switchCurrents_5,platform.EPS.switchCurrents_4,platform.EPS.switchCurrents_3,platform.EPS.switchCurrents_2,platform.EPS.switchCurrents_1,platform.EPS.switchCurrents_0,platform.EPS.switchVoltages_9,platform.EPS.switchVoltages_8,platform.EPS.switchVoltages_7,platform.EPS.switchVoltages_6,platform.EPS.switchVoltages_5,platform.EPS.switchVoltages_4,platform.EPS.switchVoltages_3,platform.EPS.switchVoltages_2,platform.EPS.switchVoltages_1,platform.EPS.switchVoltages_0,platform.BAT.batteryVoltage_2,platform.BAT.batteryVoltage_1,platform.BAT.batteryVoltage_0,platform.BAT.batteryCurrent_2,platform.BAT.batteryCurrent_1,platform.BAT.batteryCurrent_0,platform.EPS.solarArrayCurrents[0:4],platform.EPS.solarArrayVoltages[0:2],platform.EPS.busVoltages[0:3],platform.EPS.busCurrents[0:3],platform.EPS.busCurrentDraws[0:1],platform.ADCS.busCurrents[0:2],platform.ADCS.busVoltages[0:2],platform.ADCS.sensorCurrent,platform.ADCS.mtqCurrent,platform.CMC.current3V3,platform.CMC.current5V,platform.CMC.voltage3V3,platform.CMC.voltage5V,obsw.platform.obc.TelemetryADCA.channelOutput[3],obsw.platform.obc.TelemetryADCA.channelOutput[0],obsw.platform.obc.TelemetryADCA.channelOutput[1],obsw.platform.obc.TelemetryADCA.channelOutput[4],obsw.platform.obc.TelemetryADCB.channelOutput[0],obsw.platform.obc.TelemetryADCB.channelOutput[1],obsw.platform.obc.TelemetryADCB.channelOutput[2],obsw.platform.obc.TelemetryADCB.channelOutput[3],obsw.platform.obc.TelemetryADCC.channelOutput[1],obsw.platform.obc.TelemetryADCC.channelOutput[2],obsw.platform.obc.TelemetryADCC.channelOutput[5],obsw.platform.obc.TelemetryADCB.channelOutput[4],obsw.platform.obc.TelemetryADCC.channelOutput[6],obsw.platform.obc.TelemetryADCB.channelOutput[5],obsw.platform.obc.TelemetryADCC.channelOutput[4],obsw.platform.obc.TelemetryADCB.channelOutput[6],obsw.platform.obc.TelemetryADCA.channelOutput[5],obsw.platform.obc.TelemetryADCC.channelOutput[3],cdh.telemetry.DataPool.paramValid
0,7507428,124751,1,32514066,811428751,2479371109901929015577159682,2478301477751762965663589378,420,420,326,423,513,559,736,571,7,11,2,33,46,12,512,884,777,905,712,358,263,768,617,273,4,5,2,9,18,5,47,2,5,3,2,2,2,778,776,12,861,2,19,909,2,2,911,858,773,18,8,31,5502140000000.0,276142792,972552000000.0,12933170178,11271,78576500000000.0,141126000000000.0,9129,332,17523,65501,1258,828,2153,2147,1139,3357,3348,477,3342,318,1647,3,2167,26,3378,5,2309,34,2438,2305,11111111111111111111
1,7507488,124752,1,32514054,811428753,3717314690962170342125872130,1240362619058005607200072706,420,420,24,807,513,590,928,546,7,11,2,34,46,12,448,916,777,909,715,357,264,640,283,290,2,5,2,9,19,5,49,2,5,4,2,1,2,777,777,11,860,2,19,912,2,3,913,858,773,6,8,31,5500010000000.0,277190347,976847000000.0,12933171202,11271,75166300000000.0,141229000000000.0,8832,199,17523,65501,1258,828,2157,2152,1126,3357,3347,477,3342,318,1644,3,2171,26,3377,5,2309,33,2437,2306,11111111111111111111
2,7507549,124753,1,31465484,811428750,6193191226605147236157105154,2478301477751762965663589378,420,420,372,680,513,771,576,526,8,11,2,33,46,11,192,412,777,907,707,349,265,0,448,1023,5,5,2,9,18,5,47,2,5,3,2,2,2,777,777,12,860,2,18,909,2,5,910,858,773,12,8,30,5504000000000.0,278230723,974699000000.0,11859428354,11272,72370300000000.0,141195000000000.0,7738,849,17511,65501,1258,828,2152,2147,1129,3357,3348,478,3342,318,1644,3,2167,26,3378,5,2312,34,2438,2294,11111111111111111111
3,7507609,124754,1,32514075,811428755,3717315871553791059537175554,2478301477751761866151961602,420,420,656,494,1022,865,193,934,7,11,2,34,46,11,704,396,778,911,795,364,279,256,523,18,6,5,2,9,18,5,46,2,5,3,2,2,2,777,777,11,860,2,19,913,2,3,915,858,773,27,8,31,5504020000000.0,292926235,978995000000.0,11859429378,11271,64197000000000.0,140529000000000.0,5851,522,17523,65501,1258,828,2160,2155,1124,3357,3348,477,3342,318,1644,3,2175,26,3377,5,2310,33,2437,2293,11111111111111111111
4,7507668,124755,1,31465477,811428753,2479373471085169350889186306,2478301476598843660079997954,420,420,372,680,513,907,512,954,7,11,2,34,46,12,448,916,777,909,698,357,275,0,631,31,5,5,2,9,18,5,49,2,4,3,2,2,2,777,777,12,860,2,19,911,2,2,913,858,773,5,8,30,5502960000000.0,288724666,976847000000.0,12933171202,11271,65592800000000.0,141195000000000.0,7604,196,17523,65501,1258,828,2153,2149,1128,3357,3348,477,3342,318,1643,3,2170,26,3378,5,2313,34,2438,2296,11111111111111111111
5,7507728,124756,1,31465493,811428753,3717314690962171442711240706,2478301477751765164687893506,420,420,245,58,513,89,833,970,8,11,2,34,46,12,448,916,777,909,695,355,350,640,639,1023,29,5,2,9,19,5,49,2,5,3,2,2,2,776,777,12,861,2,19,912,2,3,913,858,773,21,8,30,5529770000000.0,367365815,976847000000.0,12933171202,11272,66713800000000.0,141028000000000.0,5754,354,17535,65507,1258,828,2158,2153,1127,3357,3348,477,3342,318,1643,3,2161,26,3378,5,2318,33,2437,2301,11111111111111111111
6,7507788,124757,1,31465497,811428755,2479375832268410785711793154,2478301477751764065176266754,420,420,1022,169,513,656,288,574,7,11,2,35,46,12,128,444,777,911,809,363,358,0,1004,0,51,5,2,10,19,5,48,2,5,3,2,2,2,777,777,12,860,2,19,913,2,2,915,858,773,25,8,30,5552320000000.0,375762729,978994000000.0,12933172226,11271,78928700000000.0,141058000000000.0,6921,876,17523,65501,1258,828,2160,2155,1127,3357,3347,476,3342,317,1643,3,2176,26,3379,4,2305,34,2437,2302,11111111111111111111
7,7507849,124758,1,31465496,811428755,6193195950124551610409165826,2478301477751766264198472706,420,420,674,296,513,433,864,536,8,11,2,33,46,12,128,444,777,911,781,410,354,0,1004,0,51,5,2,9,18,5,50,2,5,3,2,2,2,777,777,12,860,2,19,913,2,5,915,858,773,24,8,30,5552320000000.0,371616525,978994000000.0,12933170178,11272,73783300000000.0,141092000000000.0,8198,510,17523,65507,1258,828,2161,2156,1126,3357,3348,477,3342,318,1642,3,2176,26,3378,5,2312,34,2436,2295,11111111111111111111
8,7507908,124759,1,31465502,811428755,2479377012860032602634724354,2478301477751765164687894530,420,420,144,73,513,297,577,958,8,11,2,33,46,12,704,396,778,911,794,405,362,256,696,1020,110,5,2,10,19,5,49,2,5,3,2,2,2,777,777,12,861,2,19,914,2,2,915,858,773,30,8,30,5616740000000.0,380000026,978995000000.0,12933170178,11272,65872000000000.0,141032000000000.0,7025,502,17547,65507,1258,828,2161,2155,1126,3358,3348,478,3342,318,1642,3,2176,26,3379,5,2306,33,2437,2307,11111111111111111111
9,7507968,124760,1,31465495,811427732,2479377012860031502048306178,2478300297160144447276589058,420,420,310,281,512,139,161,523,8,11,2,34,46,12,128,444,777,911,251,405,363,256,692,1,94,4,2,8,19,5,49,2,5,2,2,2,2,777,776,11,860,2,19,914,2,2,916,857,773,23,8,30,4498980000000.0,381048059,978994000000.0,12933171202,11272,71902200000000.0,140813000000000.0,6577,313,17535,65501,1258,828,2161,2156,1129,3357,3347,477,3342,318,1642,3,2176,26,3378,4,2303,33,2437,2302,11111111111111111111
