nan,nan,platform.obc.GPS.LastGpsTimeLog,platform.obc.GPS.UpdateGpsTimeLog[0:1],platform.obc.OBC.mramCorrectableErrorCount,platform.obc.OBC.mramNonCorrectableErrorCount,platform.obc.OBC.flashCorrectableErrorCount,platform.obc.OBC.flashNonCorrectableErrorCount,platform.obc.MagnetometerI2C.nackAddrCount,platform.obc.MagnetometerI2C.hwStateErrorCount,platform.obc.GPS.UpdateGpsTimeLog_1,platform.obc.GPS.UpdateGpsTimeLog_0,platform.obc.MagnetometerI2C.isrErrorCount,platform.obc.I2CBusA.nackAddrCount,platform.obc.I2CBusA.hwStateErrorCount,platform.obc.I2CBusA.isrErrorCount,platform.obc.I2CBusB.nackAddrCount,platform.obc.I2CBusB.hwStateErrorCount,platform.obc.I2CBusB.isrErrorCount,platform.obc.I2CBusC.nackAddrCount,platform.obc.I2CBusC.hwStateErrorCount,platform.obc.I2CBusC.isrErrorCount,platform.obc.GPSSerial.txFailures,platform.obc.GPSSerial.rxFailures,platform.obc.GPSSerial.framingErrors,platform.obc.GPSSerial.parityErrors,platform.obc.GPSSerial.overrunErrors,platform.BAT.status,platform.BAT.lastError,platform.BAT.autoResetCount,platform.BAT.brownOutResetCount,platform.EPS.status,platform.EPS.lastError,platform.EPS.softResetCount,platform.ADCS.fss1ErrorCodes,platform.ADCS.fss1ErrorCount,platform.ADCS.busCurrents[0],platform.ADCS.boardTemperature,platform.ADCS.detumbleCounter,platform.CMC.txPacketCount,platform.CMC.txOverrunErrorCount,platform.CMC.rxDtmfAndCounter,platform.CMC.rxPacketCount,platform.CMC.rxDroppedErrorCount,platform.CMC.rxCrcErrorCount,platform.CMC.rxOverrunErrorCount,platform.CMC.rxProtocolErrorCount,platform.CMC.temperatureSmps,platform.CMC.voltage3V3,platform.CMC.current3V3,payload.GMOD.DP_GMODMSPTemp,payload.GMOD.DP_ErrMessages,payload.GMOD.DP_FlashRolloverCounter,payload.GMOD.DP_CPLDTimeoutCounter,payload.GMOD.DP_SegFaultCount,payload.GMOD.DP_SegFaultType,payload.GMOD.DP_CorrBitErrorCount,payload.GMOD.DP_NonCorrBitErrorCount,payload.GMOD.DP_ForbiddenReadCount,core.EventDispatcher.overflowCount,EMOD.Serial.txFailures,EMOD.Serial.rxFailures,EMOD.Serial.framingErrors,EMOD.Serial.parityErrors,EMOD.Serial.overrunErrors,GMOD.Serial.txFailures,GMOD.Serial.rxFailures,GMOD.Serial.framingErrors,GMOD.Serial.parityErrors,GMOD.Serial.overrunErrors,comms.HMAC.authenticatedFrameCount,comms.HMAC.failedAuthenticationCount,comms.HMAC.droppedFrameCount,comms.HMAC.seqResyncCount,mission.ModeManager.EntryError,mission.ModeManager.ExitError,cdh.telemetry.DataPool.paramValid
7121201,11868,0000101010010010110010110110001111111110100111011111001001000000,0000101010010010110010110110001111111110100111011111001001000000,0,0,0,0,0,0,4160327334,2159807920,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,16630,38405,200,7494,0,171,4705,0,33,0,0,17,828,17523,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,4424,25,0,109,0,0,11111111111111111111111111111111
7121801,11869,0000101010010010110010110110010000001101111000000011001001000000,0000101010010010110010110110010000001101111000000011001001000000,0,0,0,0,0,0,4160327334,2159807920,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,128,0,0,2,0,0,4,11,57930,14826,38711,200,7504,0,171,4705,0,33,0,0,19,828,17571,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,4424,25,0,109,0,0,11111111111111111111111111111111
7122401,11870,0000101010010010110010110110010000001101111000000011001001000000,0000101010010010110010110110010000001101111000000011001001000000,0,0,0,0,0,0,4160327334,2159807920,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,128,0,0,2,0,0,4,11,57930,18248,38985,200,7514,0,171,4705,0,33,0,0,22,828,17642,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,4424,25,0,109,0,0,11111111111111111111111111111111
7123001,11871,0000101010010010110011011100110100111011001011111001100100000000,0000101010010010110011011100110100111011001011111001100100000000,0,0,0,0,0,0,4160327416,2159807920,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,15057,39319,200,7524,0,171,4705,0,33,0,0,25,828,17749,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,4424,25,0,109,0,0,11111111111111111111111111111111
7123601,11872,0000101010010010110011011100110100111011001011111001100100000000,0000101010010010110011011100110100111011001011111001100100000000,0,0,0,0,0,0,4160327416,2159807920,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,128,0,0,2,0,0,4,0,57930,17502,39602,200,7534,0,171,4705,0,33,0,0,27,829,17833,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,4424,25,0,109,0,0,11111111111111111111111111111111
7124201,11873,0000101010010010110011011100110101001010011000101001011011000000,0000101010010010110011011100110101001010011000101001011011000000,0,0,0,0,0,0,4160327416,2159807920,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,16046,39605,200,7544,0,171,4705,0,33,0,0,26,829,17821,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,4424,25,0,109,0,0,11111111111111111111111111111111
7124801,11874,0000101010010010110011011100110101001010011000101001011011000000,0000101010010010110011011100110101001010011000101001011011000000,0,0,0,0,0,0,4160327416,2159807920,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,18181,39239,200,7554,0,171,4705,0,33,0,0,22,829,17725,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,4424,25,0,109,0,0,11111111111111111111111111111111
7125401,11875,0000101010010010110100000011101100011110010011000100110101000000,0000101010010010110100000011101100011110010011000100110101000000,0,0,0,0,0,0,4160335589,2159807920,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,16158,38760,200,7564,0,171,4705,0,33,0,0,19,829,17630,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,4424,25,0,109,0,0,11111111111111111111111111111111
7126001,11876,0000101010010010110100000011101100011110010011000100110101000000,0000101010010010110100000011101100011110010011000100110101000000,0,0,0,0,0,0,4160335589,2159807920,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,16279,38285,200,7574,0,171,4705,0,33,0,0,16,829,17535,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,4424,25,0,109,0,0,11111111111111111111111111111111
7126601,11877,0000101010010010110100000011101100101101100011101000110101000000,0000101010010010110100000011101100101101100011101000110101000000,0,0,0,0,0,0,4160335589,2159807920,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,15122,38136,200,7584,0,171,4705,0,33,0,0,15,828,17464,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,4424,25,0,109,0,0,11111111111111111111111111111111
