,nan,nan,platform.BAT.batteryCurrentDir,platform.BAT.batteryCurrent[0:2],platform.BAT.batteryVoltage[0:2],platform.EPS.switchVoltages[0:9],platform.EPS.switchCurrents[0:9],platform.EPS.actualSwitchStatesBitmap,platform.EPS.expectedSwitchStatesBitmap,platform.EPS.solarArrayCurrents[0:4],platform.EPS.solarArrayVoltages[0:2],platform.EPS.busVoltages[0:3],platform.EPS.busCurrents[0:3],platform.EPS.busCurrentDraws[0:1],platform.ADCS.busCurrents[0:2],platform.ADCS.busVoltages[0:2],platform.ADCS.sensorCurrent,platform.ADCS.mtqCurrent,platform.CMC.current3V3,platform.CMC.current5V,platform.CMC.voltage3V3,platform.CMC.voltage5V,obsw.platform.obc.TelemetryADCA.channelOutput[3],obsw.platform.obc.TelemetryADCA.channelOutput[0],obsw.platform.obc.TelemetryADCA.channelOutput[1],obsw.platform.obc.TelemetryADCA.channelOutput[4],obsw.platform.obc.TelemetryADCB.channelOutput[0],obsw.platform.obc.TelemetryADCB.channelOutput[1],obsw.platform.obc.TelemetryADCB.channelOutput[2],obsw.platform.obc.TelemetryADCB.channelOutput[3],obsw.platform.obc.TelemetryADCC.channelOutput[1],obsw.platform.obc.TelemetryADCC.channelOutput[2],obsw.platform.obc.TelemetryADCC.channelOutput[5],obsw.platform.obc.TelemetryADCB.channelOutput[4],obsw.platform.obc.TelemetryADCC.channelOutput[6],obsw.platform.obc.TelemetryADCB.channelOutput[5],obsw.platform.obc.TelemetryADCC.channelOutput[4],obsw.platform.obc.TelemetryADCB.channelOutput[6],obsw.platform.obc.TelemetryADCA.channelOutput[5],obsw.platform.obc.TelemetryADCC.channelOutput[3],cdh.telemetry.DataPool.paramValid
0,3937351,65335,0,31465494,812477317,6193179420688941160481956866,2478300296007183360250093570,420,420,1100586419201,1049601,960740816760,11859420162,11271,71391050993060,140782735402621,6054,250,17666,65501,1259,829,2125,2121,1144,3357,3348,477,3342,318,1642,3,2141,26,3378,5,2314,34,2438,2297,11111111111111111111
1,3937411,65336,0,31465494,812478340,2479358123394101122980127746,2478300297160102665833684994,420,420,1100586419201,1049601,962888300409,11859420162,11271,63544142073213,140542220117706,5731,354,17666,65501,1259,829,2124,2120,1150,3357,3348,477,3342,319,1642,3,2140,25,3378,5,2308,33,2438,2305,11111111111111111111
2,3937471,65337,0,31465494,812477316,2479358123394101124053869570,2478300297160103765345312770,420,420,1100587468801,1051649,959667074936,12932112386,11271,60735237918026,140546514101968,5527,872,17654,65501,1259,829,2124,2119,1143,3356,3348,478,3342,319,1643,3,2139,26,3378,5,2317,33,2438,2299,11111111111111111111
3,3937531,65338,0,31465494,812478340,2479358122241179619447023618,2478300297160102665833684994,420,420,60533271169025,10487809,960740816761,11858371586,11271,71734643068455,141280959800912,7808,597,17642,65501,1259,829,2123,2118,1141,3357,3347,480,3343,320,1643,3,2138,25,3378,5,2312,34,2437,2294,11111111111111111111
4,3937591,65339,0,31465494,812478340,2479359303985721841464124418,2478301477751723383244988418,420,420,423728590623745,42068994,960740816760,11859419138,11272,61942123924776,140658182071913,6386,212,17630,65501,1259,829,2126,2121,1142,3356,3348,477,3343,318,1644,3,2140,25,3377,5,2317,33,2437,2299,11111111111111111111
5,3937651,65340,1,31465490,811428752,6193191227758069839201838082,2478300297160104864856940546,420,420,5817534347268,399880202,972551976824,12933160962,11271,74320214494691,140834264000130,9094,542,17618,65501,1258,828,2152,2146,1130,3357,3347,477,3342,318,1645,3,2166,26,3377,5,2316,34,2437,2299,11111111111111111111
6,3937711,65341,1,31465485,812477326,3717313510370550724226196482,2478300296007180061715210242,420,420,5705865246957,392544338,974699460472,12933160962,11271,64145441033562,141238005081714,7464,845,17606,65501,1258,828,2154,2149,1126,3357,3348,478,3342,319,1645,3,2169,26,3377,5,2310,34,2438,2292,11111111111111111111
7,3937771,65342,1,31465491,811428752,3717315871553792160121496578,2478300296007181161226838018,420,420,5499707058250,276159741,976846944120,11858372610,11272,60258496613804,140692538599089,5601,361,17595,65501,1258,828,2160,2156,1126,3357,3348,480,3342,320,1646,3,2175,26,3377,5,2305,34,2437,2302,11111111111111111111
8,3937831,65343,1,31465499,811428755,2479375832268411885223420930,2478300297160103765345312770,420,420,5884106339410,453420075,977920685945,12933160962,11272,63539850448229,141186466260537,7372,322,17583,65501,1258,828,2161,2156,1126,3357,3348,478,3342,319,1647,3,2175,26,3377,5,2304,34,2437,2301,11111111111111111111
9,3937891,65344,1,31465497,811428755,3717315871553792160122545154,2477092551932109853582957570,420,420,5499707091068,276157285,975773202296,12932114434,11272,70016651890195,141083385865815,8876,524,17583,65507,1258,828,2155,2151,1128,3357,3348,481,3342,318,1647,3,2170,26,3376,15,2308,34,2438,2303,11111111111111111111
